Timestamp,User_ID,IP_Address,Activity_Type,Resource_Accessed,File_Name,Action,Login_Attempts,File_Size,Anomaly_Type,Label
2024-09-27 12:53:26.390859,9288,10.174.236.5,File_Modification,/network/logs/new_project.docx,new_project.docx,Delete,,30.66,DDoS_Attempt,Suspicious
2024-10-02 15:13:49.741543,1605,172.19.128.216,USB_Insert,/server/secrets.txt,,Read,,,Brute_Force,Suspicious
2024-09-13 14:31:39.163288,3056,192.168.201.132,File_Modification,/project/document2.docx,document2.docx,N/A,,21.61,DDoS_Attempt,Suspicious
2024-10-02 22:27:57.622008,1564,10.119.122.121,Network_Traffic,/backup/document2.docx,,Delete,,,None,Normal
2024-10-01 08:00:55.017797,3660,172.23.2.38,USB_Insert,/confidential/report1.pdf,,Write,,,None,Normal
2024-09-20 00:27:42.867506,8393,172.27.249.195,File_Access,/backup/report1.pdf,report1.pdf,Read,,10.66,None,Normal
2024-10-02 21:21:21.837411,7927,172.16.182.238,Network_Traffic,/backup/report1.pdf,,Failed,,,None,Normal
2024-09-26 06:44:10.720151,9558,192.168.182.157,Network_Traffic,/confidential/data.csv,,Delete,,,None,Normal
2024-09-14 02:37:52.496926,4816,10.81.94.240,Network_Traffic,/project/new_project.docx,,Success,,,None,Normal
2024-09-27 12:04:45.668351,3738,172.23.90.16,Network_Traffic,/confidential/report1.pdf,,Failed,,,None,Normal
2024-09-15 01:32:16.114178,8671,172.16.63.92,Login,/backup/new_project.docx,,N/A,2.0,,None,Normal
2024-09-26 09:30:57.649714,8839,10.191.127.188,Login,/backup/new_project.docx,,Read,5.0,,None,Normal
2024-09-30 12:32:22.111083,3681,192.168.0.118,File_Deletion,/network/logs/report1.pdf,report1.pdf,N/A,,39.95,None,Normal
2024-09-24 22:04:24.210421,1604,192.168.138.33,Remote_Login,/project/new_project.docx,,N/A,2.0,,None,Normal
2024-10-03 05:57:41.332185,9904,172.25.182.213,File_Modification,/project/report1.pdf,report1.pdf,Failed,,0.26,None,Normal
2024-09-18 15:18:14.731565,1383,192.168.209.76,Network_Traffic,/network/logs/report2.pdf,,Delete,,,None,Normal
2024-10-09 19:46:26.481155,7702,172.23.120.192,File_Modification,/project/new_project.docx,new_project.docx,N/A,,25.05,None,Normal
2024-09-20 05:50:23.475955,8609,10.110.179.69,Login,/network/logs/data.csv,,Delete,4.0,,None,Normal
2024-09-13 11:18:36.768660,7791,172.30.132.153,File_Access,/backup/secrets.txt,secrets.txt,Failed,,10.4,None,Normal
2024-09-13 23:22:04.175837,1807,192.168.26.160,Remote_Login,/confidential/report2.pdf,,Inserted,10.0,,None,Normal
2024-10-05 07:16:58.602390,3193,192.168.111.76,File_Deletion,/network/logs/secrets.txt,secrets.txt,Inserted,,21.84,Brute_Force,Suspicious
2024-09-23 13:24:33.407738,4216,172.19.137.52,File_Modification,/backup/new_project.docx,new_project.docx,Failed,,38.81,None,Normal
2024-09-23 15:09:26.224211,4797,192.168.212.240,File_Deletion,/confidential/data.csv,data.csv,Failed,,40.94,None,Normal
2024-09-27 13:12:13.960519,1398,192.168.53.199,USB_Insert,/project/report2.pdf,,Read,,,None,Normal
2024-09-21 20:18:29.654758,7554,10.241.210.196,File_Access,/backup/document2.docx,document2.docx,Read,,22.87,None,Normal
2024-09-14 08:11:42.899782,1179,192.168.174.18,Remote_Login,/project/report1.pdf,,Write,6.0,,None,Normal
2024-10-03 02:10:31.585759,9988,192.168.69.125,File_Modification,/network/logs/data.csv,data.csv,Success,,38.68,None,Normal
2024-09-24 00:32:28.096868,2783,192.168.89.251,File_Access,/confidential/document2.docx,document2.docx,Delete,,16.23,None,Normal
2024-09-22 21:45:42.503536,6671,172.30.8.235,USB_Insert,/confidential/new_project.docx,,Write,,,None,Normal
2024-10-05 07:33:41.516041,9381,192.168.75.115,Remote_Login,/backup/report2.pdf,,Delete,9.0,,None,Normal
2024-09-29 16:50:54.601640,3144,10.109.139.97,USB_Insert,/project/secrets.txt,,Failed,,,None,Normal
2024-09-26 16:46:41.933153,2863,10.70.124.201,File_Deletion,/shared/documents/report2.pdf,report2.pdf,Read,,46.88,Data_Exfil,Suspicious
2024-09-30 03:33:09.129120,6328,10.9.16.60,Network_Traffic,/backup/document2.docx,,Success,,,None,Normal
2024-09-24 03:58:14.512767,2665,192.168.213.245,File_Access,/shared/documents/report2.pdf,report2.pdf,Inserted,,18.09,None,Normal
2024-09-24 03:32:21.795063,4797,172.21.82.78,File_Deletion,/project/data.csv,data.csv,Success,,43.08,None,Normal
2024-10-11 00:32:01.898614,5509,10.236.1.2,File_Modification,/project/new_project.docx,new_project.docx,Delete,,13.25,None,Normal
2024-09-12 20:58:48.493625,7437,10.199.163.55,File_Deletion,/server/report2.pdf,report2.pdf,Write,,13.7,None,Normal
2024-10-03 18:01:39.508424,2802,10.219.75.82,USB_Insert,/backup/report1.pdf,,Failed,,,None,Normal
2024-09-16 01:40:32.766277,2423,172.31.230.193,Network_Traffic,/shared/documents/report1.pdf,,Read,,,None,Normal
2024-09-28 02:36:01.332293,8950,10.44.201.19,File_Modification,/project/new_project.docx,new_project.docx,Failed,,9.07,None,Normal
2024-09-16 23:11:53.984972,8422,10.213.228.173,Remote_Login,/backup/secrets.txt,,N/A,10.0,,None,Normal
2024-10-05 06:16:57.201131,6666,10.61.188.73,Network_Traffic,/network/logs/secrets.txt,,Failed,,,None,Normal
2024-10-02 12:50:26.101554,1338,192.168.61.129,Remote_Login,/confidential/document2.docx,,Read,1.0,,DDoS_Attempt,Suspicious
2024-09-19 20:59:06.323050,6310,10.220.177.50,Login,/shared/documents/secrets.txt,,Read,8.0,,None,Normal
2024-10-11 04:02:09.899925,9447,192.168.134.224,File_Access,/project/report1.pdf,report1.pdf,Read,,6.3,None,Normal
2024-09-25 14:55:18.397920,9011,172.29.139.153,Login,/shared/documents/report1.pdf,,Write,8.0,,None,Normal
2024-09-19 23:09:11.332042,4353,172.20.114.216,File_Access,/confidential/data.csv,data.csv,Failed,,21.53,Brute_Force,Suspicious
2024-09-21 08:24:38.358869,3831,172.22.236.202,File_Modification,/project/document2.docx,document2.docx,Read,,33.85,None,Normal
2024-10-02 20:22:15.155822,6774,192.168.130.104,File_Modification,/project/new_project.docx,new_project.docx,N/A,,46.08,DDoS_Attempt,Suspicious
2024-10-01 09:29:59.481150,8867,172.21.26.32,Network_Traffic,/network/logs/report1.pdf,,Write,,,None,Normal
2024-09-29 05:45:31.074667,6165,192.168.126.79,Remote_Login,/shared/documents/document2.docx,,Inserted,4.0,,None,Normal
2024-09-18 10:57:36.645073,9469,192.168.133.74,USB_Insert,/shared/documents/new_project.docx,,N/A,,,None,Normal
2024-09-21 10:51:31.553230,1816,172.23.175.143,File_Access,/confidential/report1.pdf,report1.pdf,Failed,,5.36,None,Normal
2024-09-16 00:23:15.131036,2764,10.78.155.129,File_Modification,/shared/documents/report2.pdf,report2.pdf,Success,,49.89,None,Normal
2024-09-16 18:24:26.650083,2051,172.20.65.211,Login,/backup/report2.pdf,,Failed,6.0,,None,Normal
2024-10-08 01:00:01.495069,8683,172.30.105.181,File_Modification,/confidential/data.csv,data.csv,N/A,,1.69,None,Normal
2024-10-05 12:04:46.902698,9574,10.5.188.178,File_Modification,/shared/documents/secrets.txt,secrets.txt,Write,,40.56,None,Normal
2024-09-18 04:26:51.717089,5542,10.11.169.233,USB_Insert,/confidential/new_project.docx,,Read,,,None,Normal
2024-09-19 17:05:45.651235,2308,172.16.21.166,File_Access,/network/logs/secrets.txt,secrets.txt,Delete,,23.75,None,Normal
2024-09-17 13:42:04.476293,1322,10.172.86.55,Login,/server/report1.pdf,,N/A,3.0,,Data_Exfil,Suspicious
2024-09-19 20:12:05.296167,6429,172.17.98.61,USB_Insert,/network/logs/new_project.docx,,Inserted,,,None,Normal
2024-10-07 05:09:20.125568,2533,172.22.0.228,File_Deletion,/backup/new_project.docx,new_project.docx,N/A,,29.04,None,Normal
2024-10-10 19:15:40.152013,4958,192.168.235.87,File_Access,/backup/data.csv,data.csv,N/A,,27.77,None,Normal
2024-10-04 05:25:45.886380,6012,192.168.13.65,File_Access,/shared/documents/report2.pdf,report2.pdf,N/A,,24.16,None,Normal
2024-10-01 16:00:40.533457,4137,172.25.43.141,Network_Traffic,/server/secrets.txt,,Read,,,None,Normal
2024-09-30 02:59:17.752072,6178,10.246.49.123,Login,/shared/documents/document2.docx,,N/A,7.0,,None,Normal
2024-09-17 07:32:15.959611,1874,172.18.196.161,Remote_Login,/network/logs/document2.docx,,N/A,9.0,,None,Normal
2024-09-22 22:37:22.966394,6372,10.57.254.81,Login,/backup/data.csv,,N/A,9.0,,None,Normal
2024-10-04 15:16:51.990952,8797,192.168.113.139,File_Access,/server/report1.pdf,report1.pdf,Delete,,6.19,DDoS_Attempt,Suspicious
2024-10-12 14:38:26.624712,1216,192.168.154.14,File_Modification,/server/document2.docx,document2.docx,Write,,27.44,None,Normal
2024-10-03 21:57:22.369475,4387,10.50.127.71,File_Modification,/network/logs/document2.docx,document2.docx,Success,,10.05,None,Normal
2024-09-30 06:13:18.375918,9038,10.126.168.109,Remote_Login,/confidential/document2.docx,,Read,5.0,,DDoS_Attempt,Suspicious
2024-10-03 23:45:55.523195,3703,192.168.206.39,Remote_Login,/confidential/report1.pdf,,Write,2.0,,None,Normal
2024-09-24 14:17:06.109087,9486,172.24.94.173,Network_Traffic,/network/logs/new_project.docx,,Write,,,None,Normal
2024-09-25 21:25:55.652804,8009,10.27.176.205,File_Deletion,/confidential/new_project.docx,new_project.docx,Write,,3.96,Brute_Force,Suspicious
2024-09-18 08:13:36.421758,8105,192.168.215.29,File_Deletion,/network/logs/document2.docx,document2.docx,Failed,,21.82,None,Normal
2024-10-06 01:21:22.008132,9006,172.26.198.41,File_Modification,/backup/report2.pdf,report2.pdf,Failed,,30.8,None,Normal
2024-09-21 05:47:42.035089,7903,172.30.99.130,Network_Traffic,/shared/documents/document2.docx,,Write,,,None,Normal
2024-10-05 04:04:04.470247,3720,192.168.120.54,Network_Traffic,/project/new_project.docx,,Write,,,None,Normal
2024-09-28 13:37:05.773964,5750,172.26.40.66,File_Deletion,/backup/report1.pdf,report1.pdf,Write,,30.53,DDoS_Attempt,Suspicious
2024-10-05 10:27:56.209581,9124,192.168.251.148,File_Access,/server/secrets.txt,secrets.txt,Failed,,21.69,None,Normal
2024-09-17 08:33:30.514804,6207,10.166.115.11,File_Deletion,/backup/secrets.txt,secrets.txt,Read,,25.48,None,Normal
2024-09-26 11:43:13.552088,9918,192.168.104.159,Remote_Login,/network/logs/secrets.txt,,Delete,10.0,,None,Normal
2024-09-18 07:47:38.479857,4540,172.19.159.234,File_Deletion,/network/logs/new_project.docx,new_project.docx,N/A,,2.06,None,Normal
2024-09-28 22:25:05.457328,9587,10.96.38.217,Login,/backup/secrets.txt,,Read,9.0,,None,Normal
2024-09-27 18:24:28.610672,2366,10.144.236.0,File_Access,/shared/documents/document2.docx,document2.docx,N/A,,35.37,None,Normal
2024-09-28 16:07:26.109972,5387,10.216.5.75,File_Modification,/project/data.csv,data.csv,N/A,,2.32,None,Normal
2024-09-19 21:24:12.623861,1573,192.168.194.214,USB_Insert,/project/report2.pdf,,Write,,,None,Normal
2024-09-18 03:12:02.012018,4474,192.168.252.238,Remote_Login,/project/report2.pdf,,Failed,5.0,,Brute_Force,Suspicious
2024-09-26 00:54:02.598614,7405,172.30.5.131,Network_Traffic,/backup/new_project.docx,,Write,,,None,Normal
